Month,Year,Start,Finish,Event,EventType,EventID,Community,CommunityID
Apr,2018,11/4/2018,11/4/2018,Маркетинг. Погружение,Meetup,E-065,Marketing,C-009
Apr,2018,19/4/2018,19/4/2018,Опыт успешного участия в International Data Analysis Olympiad,Meetup,E-066,HTP Lab,C-006
Apr,2018,21/4/2018,21/4/2018,"Kонференции ""Open IT""",Conference,E-067,IT-Academy,C-007
Apr,2018,21/4/2018,21/4/2018,"Веселые будни мануальщика, полюбившего автоматизацию",Meetup,E-068,QA Community,C-011
Apr,2018,25/4/2018,25/4/2018,"Веселые будни мануальщика, полюбившего автоматизацию",Meetup,E-069,QA Community,C-011
May,2018,12/5/2018,12/5/2018,AI by Exposit,Meetup,E-070,Exposit,C-004
May,2018,12/5/2018,12/5/2018,Artificial Intelligence by Exposit,Meetup,E-073,Exposit,C-004
May,2018,17/5/2018,17/5/2018,"Митап по блокчейну, Instictools",Meetup,E-071,Blockchain,C-003
May,2018,22/5/2018,22/5/2018,Итоги Google I/O 2018,Meetup,E-072,HTP Lab,C-006
May,2018,24/5/2018,24/5/2018,"BA Community: How to improve training of BA-newcomers and Junior BA""",Meetup,E-075,BA Community,C-002
May,2018,25/5/2018,25/5/2018,JS-day Quiz,Quiz,E-074,HTP Lab,C-006
May,2018,29/5/2018,29/5/2018,Системы управления потребителем и разработка наборов ключевых показателей деятельности,Meetup,E-075,Marketing,C-009
May,2018,30/5/2018,30/5/2018,"Заседание Совета ГОСН: ""Успешное будущее вашего предприятия - цифровая трансформация экономики""",Session,E-076,Outreach,C-015
Jun,2018,1/6/2018,1/6/2018,Финал конкурса предпринимательских идей 2018г. Гродно,Contest,E-077,Startups,C-013
Jun,2018,4/6/2018,4/6/2018,Семинар по Java,Seminar,E-078,IT-Academy,C-007
Jun,2018,7/6/2018,7/6/2018,Build Difficulty: Peace of cake,Meetup,E-079,.NET Community,C-001
Jun,2018,22/6/2018,22/6/2018,По мотивам HEISENBUG 2018,Meetup,E-080,QA Community,C-011
Jun,2018,26/6/2018,26/6/2018,Локальные интернет СМИ,Meetup,E-081,Marketing,C-009
Jun,2018,27/6/2018,27/6/2018,Scrum card game for testers,Meetup,E-082,QA Community,C-011
Jul,2018,5/7/2018,5/7/2018,Java пикник,Meetup,E-083,Java Community,C-016
Jul,2018,12/7/2018,12/7/2018,С#8. Обсудим,Meetup,E-084,.NET Community,C-001
Jul,2018,16/7/2018,16/7/2018,Основы Computer Science,Meetup,E-085,IT-Academy,C-007
Jul,2018,17/7/2018,17/7/2018,Стартап-аналитика. Ключевые метрики,Meetup,E-086,Startups,C-013
Jul,2018,20/7/2018,20/7/2018,Отборный JS из Амстерадама by IntexSoft,Meetup,E-087,JS Community,C-017
Jul,2018,25/7/2018,25/7/2018,Usability,Meetup,E-088,Marketing,C-009
Jul,2018,26/7/2018,26/7/2018,QA Quiz,Quiz,E-089,QA Community,C-011
Jul,2018,27/7/2018,27/7/2018,К выступлению готов,Meetup,E-090,IT-Academy,C-007
Aug,2018,9/8/2018,9/8/2018,How to build with Nuke,Meetup,E-091,.NET Community,C-001
Aug,2018,16/8/2018,16/8/2018,JS пикник,Meetup,E-092,JS Community,C-017
Sep,2018,3/9/2018,3/9/2018,Введение в Java,Meetup,E-093,IT-Academy,C-007
Sep,2018,6/9/2018,6/9/2018,Немного о performance,Meetup,E-094,.NET Community,C-001
Sep,2018,12/9/2018,12/9/2018,К выступлению готов,Meetup,E-095,IT-Academy,C-007
Sep,2018,13/9/2018,13/9/2018,ИТ-Мозгобойня,Contest,E-096,HTP Lab,C-006
Sep,2018,20/9/2018,20/9/2018,Введение в .NET,Meetup,E-097,IT-Academy,C-007
Sep,2018,20/9/2018,20/9/2018,"Основные требованиях инвесторов к бизнес-проектам, претендующим на привлечение финансирования",Meetup,E-098,Startups,C-013
